iter	Passed	Remaining
604	33675	21986
605	33731	21930
606	33791	21878
607	33848	21823
608	33911	21772
609	33974	21721
610	34029	21665
611	34084	21609
612	34137	21551
613	34189	21493
614	34243	21437
615	34295	21379
616	34348	21321
617	34399	21263
618	34452	21205
619	34503	21147
620	34555	21089
621	34606	21031
622	34656	20971
623	34705	20912
624	34759	20855
625	34809	20796
626	34860	20738
627	34933	20692
628	34982	20633
629	35032	20574
630	35085	20517
631	35134	20458
632	35185	20400
633	35233	20340
634	35285	20281
635	35333	20222
636	35383	20163
637	35432	20104
638	35480	20044
639	35529	19985
640	35579	19926
641	35627	19867
642	35678	19808
643	35730	19751
644	35779	19692
645	35830	19634
646	35887	19580
647	35948	19527
648	36008	19474
649	36063	19418
650	36117	19362
651	36171	19306
652	36226	19250
653	36279	19193
654	36332	19136
655	36383	19079
656	36436	19022
657	36500	18971
658	36562	18919
659	36620	18864
660	36673	18808
661	36733	18755
662	36787	18699
663	36838	18641
664	36891	18584
665	36941	18526
666	36990	18467
667	37040	18409
668	37091	18351
669	37141	18293
670	37190	18235
671	37241	18177
672	37289	18118
673	37339	18060
674	37389	18002
675	37439	17944
676	37489	17886
677	37538	17828
678	37587	17769
679	37637	17711
680	37686	17653
681	37737	17596
682	37787	17538
683	37835	17479
684	37886	17422
685	37935	17364
686	37987	17307
687	38035	17248
688	38085	17191
689	38135	17133
690	38189	17077
691	38239	17019
692	38289	16962
693	38338	16904
694	38388	16846
695	38435	16787
696	38489	16732
697	38536	16673
698	38586	16615
699	38634	16557
700	38685	16500
701	38736	16443
702	38788	16386
703	38842	16331
704	38896	16275
705	38956	16222
706	39007	16165
707	39057	16108
708	39109	16052
709	39158	15994
710	39211	15938
711	39262	15881
712	39315	15825
713	39365	15768
714	39423	15714
715	39473	15656
716	39522	15599
717	39571	15541
718	39619	15484
719	39674	15428
720	39726	15372
721	39777	15316
722	39828	15259
723	39880	15203
724	39932	15146
725	39984	15090
726	40057	15042
727	40105	14984
728	40154	14927
729	40207	14871
730	40256	14813
731	40304	14756
732	40351	14698
733	40399	14640
734	40447	14583
735	40496	14525
736	40544	14468
737	40594	14411
738	40642	14354
739	40694	14298
740	40744	14241
741	40793	14184
742	40842	14127
743	40891	14070
744	40939	14013
745	40987	13955
746	41040	13899
747	41089	13842
748	41139	13786
749	41189	13729
750	41239	13673
751	41288	13616
752	41338	13559
753	41386	13502
754	41437	13446
755	41485	13389
756	41535	13333
757	41584	13276
758	41633	13219
759	41701	13168
760	41752	13112
761	41805	13057
762	41869	13005
763	41946	12957
764	42029	12910
765	42110	12864
766	42202	12820
767	42276	12770
768	42335	12717
769	42410	12667
